Make,Type,Year,Origin,Color,Options,Engine_Size,Fuel_Type,Gear_Type,Mileage,Region,Price,Negotiable,Vehicle_Age,Price_per_km
Chrysler,C300,2018,Saudi,Black,Full,5.7,Gas,Automatic,103000,Riyadh,114000,False,7,1.106796
Nissan,Sunny,2019,Saudi,Silver,Standard,1.5,Gas,Automatic,72418,Riyadh,27500,False,6,0.37974
Hyundai,Elantra,2019,Saudi,Grey,Standard,1.6,Gas,Automatic,114154,Riyadh,43000,False,6,0.376684
Hyundai,Elantra,2019,Saudi,Silver,Semi Full,2.0,Gas,Automatic,41912,Riyadh,59500,False,6,1.419641
Honda,Accord,2018,Saudi,Navy,Full,1.5,Gas,Automatic,39000,Riyadh,72000,False,7,1.846154
Toyota,Land Cruiser,2011,Saudi,White,Semi Full,4.5,Gas,Automatic,183000,Riyadh,92000,False,14,0.502732
Chevrolet,Impala,2019,Saudi,Black,Standard,3.6,Gas,Automatic,70000,Riyadh,80000,False,6,1.142857
Toyota,Yaris,2018,Saudi,White,Standard,1.5,Gas,Automatic,131000,Jeddah,32000,False,7,0.244275
Toyota,Camry,2017,Gulf Arabic,White,Standard,2.5,Gas,Automatic,107000,Dammam,50000,False,8,0.46729
Nissan,Patrol,2014,Saudi,White,Full,5.6,Gas,Automatic,106000,Dammam,135000,False,11,1.273585
Chevrolet,Tahoe,2018,Other,Grey,Semi Full,5.3,Gas,Automatic,176140,Riyadh,153000,False,7,0.868627
Mercedes,Cla,2020,Other,White,Standard,2.0,Gas,Automatic,20000,Riyadh,235000,False,5,11.75
Mercedes,E,2017,Saudi,Grey,Full,2.0,Gas,Automatic,20600,Dammam,210000,False,8,10.194175
Toyota,Corolla,2018,Saudi,White,Standard,1.6,Gas,Automatic,7702,Dammam,45000,False,7,5.842638
Mini,Copper,2016,Gulf Arabic,Grey,Full,2.0,Gas,Automatic,110000,Dammam,83000,False,9,0.754545
Nissan,Sunny,2017,Saudi,White,Standard,1.5,Gas,Automatic,58000,Al-Medina,24500,False,8,0.422414
Nissan,Patrol,2016,Saudi,White,Standard,4.8,Gas,Automatic,93000,Jeddah,83000,False,9,0.892473
Toyota,Prado,2021,Saudi,White,Semi Full,4.0,Gas,Automatic,3000,Dammam,174000,False,4,58.0
Hyundai,Elantra,2018,Other,White,Standard,1.6,Diesel,Automatic,83000,Riyadh,50000,False,7,0.60241
Honda,Civic,2017,Saudi,Black,Standard,1.5,Gas,Automatic,200000,Jeddah,38000,False,8,0.19
Toyota,Furniture,2021,Saudi,White,Semi Full,2.4,Diesel,Automatic,29000,Qassim,145000,False,4,5.0
Lexus,Rx,2019,Saudi,Bronze,Full,3.5,Gas,Automatic,129000,Jeddah,178000,False,6,1.379845
Land Rover,Range Rover,2014,Saudi,Black,Full,3.0,Gas,Automatic,80000,Makkah,230000,False,11,2.875
Gmc,Yukon,2017,Saudi,Silver,Standard,5.3,Gas,Automatic,137317,Dammam,130000,False,8,0.946715
Nissan,Bus Urvan,2020,Saudi,White,Standard,3.5,Gas,Manual,27000,Riyadh,68000,False,5,2.518519
Toyota,Aurion,2015,Saudi,White,Semi Full,2.6,Gas,Automatic,300,Jazan,50000,False,10,166.666667
Nissan,Sunny,2019,Saudi,White,Standard,1.5,Gas,Automatic,112963,Riyadh,27500,False,6,0.243443
Hyundai,Elantra,2019,Saudi,Silver,Standard,1.6,Gas,Automatic,108650,Riyadh,43000,False,6,0.395766
Chevrolet,Malibu,2013,Saudi,Black,Semi Full,3.0,Gas,Automatic,122455,Riyadh,36000,False,12,0.293986
Nissan,Sunny,2019,Saudi,Silver,Standard,1.5,Gas,Automatic,93762,Riyadh,26800,False,6,0.28583
